,C01,C02,C03,C04,C05,C06,C00
Slot1_Xp,0.9,0,0,0,0,-0.2,-0.7
Slot1_Y,2.763,0.0567,0.0173,-0.1307,-0.0173,0.074,-2.763
Slot1_Z,-8.055,0.0476,-0.0476,-0.0476,0.0476,0,8.055
Slot1_Beta,0,1.5,-1.5,-1.5,1.5,0,0
Slot1_Gamma,0,-1.8,-0.5,4.1,0.5,-2.3,0
Slot1_Xs_Offset,-1.15,,,,,,
Slot1_Z_Offset,3,,,,,,
Slot1_Beta_Offset,0,,,,,,
Slot2_Xp,0.9,0,0,0,0,-0.2,-0.7
Slot2_Y,3.752,0.0567,0.0173,-0.1307,-0.0173,0.074,-3.752
Slot2_Z,-8.516,0.0476,-0.0476,-0.0476,0.0476,0,8.516
Slot2_Beta,0,1.5,-1.5,-1.5,1.5,0,0
Slot2_Gamma,0,-1.8,-0.5,4.1,0.5,-2.3,0
Slot2_Xs_Offset,-1.05,,,,,,
Slot2_Z_Offset,3,,,,,,
Slot2_Beta_Offset,0,,,,,,
Slot3_Xp,0.9,0,0,0,0,-0.2,-0.7
Slot3_Y,5.139,0.0567,0.0173,-0.1307,-0.0173,0.074,-5.139
Slot3_Z,-7.545,0.0476,-0.0476,-0.0476,0.0476,0,7.545
Slot3_Beta,0,1.5,-1.5,-1.5,1.5,0,0
Slot3_Gamma,0,-1.8,-0.5,4.1,0.5,-2.3,0
Slot3_Xs_Offset,-2,,,,,,
Slot3_Z_Offset,3,,,,,,
Slot3_Beta_Offset,0,,,,,,
