index,group,groupinfo,item,starttime,endtime,testtime,low,high,unit,value,result
1,TSCR,,#C01_Y_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,36.0779,PASS
1,TSCR,,#C01_Z_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,23.813,PASS
1,TSCR,,#C01_BETA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,8.9999,PASS
1,TSCR,,#C01_GAMMA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,2.974154761,PASS
1,TSCR,,#C02_X_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,-0.710307911,PASS
1,TSCR,,#C02_Y_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,35.9599,PASS
1,TSCR,,#C02_Z_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,23.813,PASS
1,TSCR,,#C02_BETA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,8.9999,PASS
1,TSCR,,#C02_GAMMA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,2.972770145,PASS
1,TSCR,,#C03_X_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,-0.715846374,PASS
1,TSCR,,#C03_Y_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,36.0779,PASS
1,TSCR,,#C03_Z_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,23.976,PASS
1,TSCR,,#C03_BETA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,8.9109,PASS
1,TSCR,,#C03_GAMMA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,2.972770145,PASS
1,TSCR,,#C04_X_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,-0.711692527,PASS
1,TSCR,,#C04_Y_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,36.1961,PASS
1,TSCR,,#C04_Z_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,23.813,PASS
1,TSCR,,#C04_BETA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,8.9999,PASS
1,TSCR,,#C04_GAMMA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,2.972770145,PASS
1,TSCR,,#C05_X_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,-0.707538679,PASS
1,TSCR,,#C05_Y_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,36.0781,PASS
1,TSCR,,#C05_Z_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,23.734,PASS
1,TSCR,,#C05_BETA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,8.9939,PASS
1,TSCR,,#C05_GAMMA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,2.972770145,PASS
1,TSCR,,#C06_X_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,-0.710307911,PASS
1,TSCR,,#C06_Y_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,35.8779,PASS
1,TSCR,,#C06_Z_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,23.813,PASS
1,TSCR,,#C06_BETA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,8.9999,PASS
1,TSCR,,#C06_GAMMA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,2.972770145,PASS
1,TSCR,,#C07_X_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,-0.714461758,PASS
1,TSCR,,#C07_Y_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,36.0779,PASS
1,TSCR,,#C07_Z_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,23.885,PASS
1,TSCR,,#C07_BETA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,8.9209,PASS
1,TSCR,,#C07_GAMMA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,2.974154761,PASS
1,TSCR,,#C08_X_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,-0.714461758,PASS
1,TSCR,,#C08_Y_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#C08_Z_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#C08_BETA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#C08_GAMMA_DEG,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#Comp_Factor1,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#Comp_Factor2,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#Comp_Factor3,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#Comp_Factor4,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#Comp_Factor5,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#ERRC_TEST_INIT,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#ERRS_TEST_INIT,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#TEST_FILE_SEQ,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSED,,#MODULE_SN,1/1/18 0:00,1/1/18 0:00,0,,,,HQT1374A00C1J3MM3,PASS
1,TSED,,#SOCKET_SN,1/1/18 0:00,1/1/18 0:00,0,,,,S00345,PASS
