index,group,groupinfo,item,starttime,endtime,testtime,low,high,unit,value,result
1,TSCR,,#STATION_SN,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,Inline001,PASS
1,TSCR,,#MODULE_SN,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,HQT1374A00C1J3MM3,PASS
1,TSCR,,#CONFIG_ID,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#LOT_ID,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,0916_OKP1_Config_M_01_112,PASS
1,TSCR,,#COSMETIC_GRADE,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#TEST_CELL_ID,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,TC4,PASS
1,TSCR,,#TESTER_NAME,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,Maestro_Tester,PASS
1,TSCR,,#TESTER_ID,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,MAT01,PASS
1,TSCR,,#TRAY_X_ROW,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,0,PASS
1,TSCR,,#TRAY_Y_COL,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,0,PASS
1,TSCR,,#LIMIT_VER,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,ABC,PASS
1,TSCR,,#TM_SW_VER,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,v1.3_Clear_1430R,PASS
1,TSCR,,#FW_SW_VER,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,2021.9.1.Rev01,PASS
1,TSCR,,#FPGA_SW_VER,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,v1.0,PASS
1,TSCR,,#VISION_SW_VER,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#VISION_ALIGNMENT_STATUS,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,v1.0,PASS
1,TSCR,,#VACUUM_STATUS,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,OFF,PASS
1,TSCR,,#WOBBLE_STATUS,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,ON,PASS
1,TSCR,,#MTCP_DLL_VER,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,Pass,PASS
1,TSCR,,#MTCP_SW_VER,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,DCore-3.8.4.Maestro,PASS
1,TSCR,,#OPERATOR,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#TEST_SEQ,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,wwj,PASS
1,TSCR,,#TEST_MODE,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,T0,PASS
1,TSCR,,#CONFIG_NAME,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,Inline_OQC_with_2DBC,PASS
1,TSCR,,#DEVICE,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,Clear_1430R,PASS
1,TSCR,,#SUB_LOT_ID,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#LIGHT_SOURCE_SN,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,Grade A In spec,PASS
1,TSCR,,#LIGHT_SOURCE_CURRENT_MA,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#LIGHT_SOURCE_TEMP_C,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,1.775,PASS
1,TSCR,,#ADC_SAMP_RATE_MSPS,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,25,PASS
1,TSCR,,#MAESTRO_DIAMETER_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,0.625,PASS
1,TSCR,,#LIGHT_SOURCE_DRIVER_SN,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,0.794136428,PASS
1,TSCR,,#THORLAB_PD_SN,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#TIA_DC_GAIN_VV,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#TIA_AC_GAIN_VV,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,200,PASS
1,TSCR,,#OSCOPE_SN,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,200,PASS
1,TSCR,,#OSCOPE_MODE,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
1,TSCR,,#IPD_DC_OFFSET,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,AC,PASS
1,TSCR,,#C01_X_MM,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,,NA,PASS
